Filename,Native
arabic1,arabic
arabic10,arabic
arabic100,arabic
arabic101,arabic
arabic102,arabic
arabic11,arabic
arabic12,arabic
arabic13,arabic
arabic14,arabic
arabic15,arabic
arabic16,arabic
arabic17,arabic
arabic18,arabic
arabic19,arabic
arabic2,arabic
arabic20,arabic
arabic21,arabic
arabic22,arabic
arabic23,arabic
arabic24,arabic
arabic25,arabic
arabic26,arabic
arabic27,arabic
arabic28,arabic
arabic29,arabic
arabic3,arabic
arabic30,arabic
arabic31,arabic
arabic32,arabic
arabic33,arabic
arabic34,arabic
arabic35,arabic
arabic36,arabic
arabic37,arabic
arabic38,arabic
arabic39,arabic
arabic4,arabic
arabic40,arabic
arabic41,arabic
arabic42,arabic
arabic43,arabic
arabic44,arabic
arabic45,arabic
arabic46,arabic
arabic47,arabic
arabic48,arabic
arabic49,arabic
arabic5,arabic
arabic50,arabic
arabic51,arabic
arabic52,arabic
arabic53,arabic
arabic54,arabic
arabic55,arabic
arabic56,arabic
arabic57,arabic
arabic58,arabic
arabic59,arabic
arabic6,arabic
arabic60,arabic
arabic61,arabic
arabic62,arabic
arabic63,arabic
arabic64,arabic
arabic65,arabic
arabic66,arabic
arabic67,arabic
arabic68,arabic
arabic69,arabic
arabic7,arabic
arabic70,arabic
arabic71,arabic
arabic72,arabic
arabic73,arabic
arabic74,arabic
arabic75,arabic
arabic76,arabic
arabic77,arabic
arabic78,arabic
arabic79,arabic
arabic8,arabic
arabic80,arabic
arabic81,arabic
arabic82,arabic
arabic83,arabic
arabic84,arabic
arabic85,arabic
arabic86,arabic
arabic87,arabic
arabic88,arabic
arabic89,arabic
arabic9,arabic
arabic90,arabic
arabic91,arabic
arabic92,arabic
arabic93,arabic
arabic94,arabic
arabic95,arabic
arabic96,arabic
arabic97,arabic
arabic98,arabic
arabic99,arabic
bengali1,bengali
bengali10,bengali
bengali11,bengali
bengali12,bengali
bengali13,bengali
bengali14,bengali
bengali15,bengali
bengali16,bengali
bengali17,bengali
bengali2,bengali
bengali3,bengali
bengali4,bengali
bengali5,bengali
bengali6,bengali
bengali7,bengali
bengali8,bengali
bengali9,bengali
english1,english
english10,english
english100,english
english101,english
english102,english
english103,english
english104,english
english105,english
english106,english
english107,english
english108,english
english109,english
english11,english
english110,english
english111,english
english112,english
english113,english
english114,english
english115,english
english116,english
english117,english
english118,english
english119,english
english12,english
english120,english
english121,english
english122,english
english123,english
english124,english
english125,english
english126,english
english127,english
english128,english
english129,english
english13,english
english130,english
english131,english
english132,english
english133,english
english134,english
english135,english
english136,english
english137,english
english138,english
english139,english
english14,english
english140,english
english141,english
english142,english
english143,english
english144,english
english145,english
english146,english
english147,english
english148,english
english149,english
english15,english
english150,english
english151,english
english152,english
english153,english
english154,english
english155,english
english156,english
english157,english
english158,english
english159,english
english16,english
english160,english
english161,english
english162,english
english163,english
english164,english
english165,english
english166,english
english167,english
english168,english
english169,english
english17,english
english170,english
english171,english
english172,english
english173,english
english174,english
english175,english
english176,english
english177,english
english178,english
english179,english
english18,english
english180,english
english181,english
english182,english
english183,english
english184,english
english185,english
english186,english
english187,english
english188,english
english189,english
english19,english
english190,english
english191,english
english192,english
english193,english
english194,english
english195,english
english196,english
english197,english
english198,english
english199,english
english2,english
english20,english
english200,english
english201,english
english202,english
english203,english
english204,english
english205,english
english206,english
english207,english
english208,english
english209,english
english21,english
english210,english
english211,english
english212,english
english213,english
english214,english
english215,english
english216,english
english217,english
english218,english
english219,english
english22,english
english220,english
english221,english
english222,english
english223,english
english224,english
english225,english
english226,english
english227,english
english228,english
english229,english
english23,english
english230,english
english231,english
english232,english
english233,english
english234,english
english235,english
english236,english
english237,english
english238,english
english239,english
english24,english
english240,english
english241,english
english242,english
english243,english
english244,english
english245,english
english246,english
english247,english
english248,english
english249,english
english25,english
english250,english
english251,english
english252,english
english253,english
english254,english
english255,english
english256,english
english257,english
english258,english
english259,english
english26,english
english260,english
english261,english
english262,english
english263,english
english264,english
english265,english
english266,english
english267,english
english268,english
english269,english
english27,english
english270,english
english271,english
english272,english
english273,english
english274,english
english275,english
english276,english
english277,english
english278,english
english279,english
english28,english
english280,english
english281,english
english282,english
english283,english
english284,english
english285,english
english286,english
english287,english
english288,english
english289,english
english29,english
english290,english
english291,english
english292,english
english293,english
english294,english
english295,english
english296,english
english297,english
english298,english
english299,english
english3,english
english30,english
english300,english
english301,english
english302,english
english303,english
english304,english
english305,english
english306,english
english307,english
english308,english
english309,english
english31,english
english310,english
english311,english
english312,english
english313,english
english314,english
english315,english
english316,english
english317,english
english318,english
english319,english
english32,english
english320,english
english321,english
english322,english
english323,english
english324,english
english325,english
english326,english
english327,english
english328,english
english329,english
english33,english
english330,english
english331,english
english332,english
english333,english
english334,english
english335,english
english336,english
english337,english
english338,english
english339,english
english34,english
english340,english
english341,english
english342,english
english343,english
english344,english
english345,english
english346,english
english347,english
english348,english
english349,english
english35,english
english350,english
english351,english
english352,english
english353,english
english354,english
english355,english
english356,english
english357,english
english358,english
english359,english
english36,english
english360,english
english361,english
english362,english
english363,english
english364,english
english365,english
english366,english
english367,english
english368,english
english369,english
english37,english
english370,english
english371,english
english372,english
english373,english
english374,english
english375,english
english376,english
english377,english
english378,english
english379,english
english38,english
english380,english
english381,english
english382,english
english383,english
english384,english
english385,english
english386,english
english387,english
english388,english
english389,english
english39,english
english390,english
english391,english
english392,english
english393,english
english394,english
english395,english
english396,english
english397,english
english398,english
english399,english
english4,english
english40,english
english400,english
english401,english
english402,english
english403,english
english404,english
english405,english
english406,english
english407,english
english408,english
english409,english
english41,english
english410,english
english411,english
english412,english
english413,english
english414,english
english415,english
english416,english
english417,english
english418,english
english419,english
english42,english
english420,english
english421,english
english422,english
english423,english
english424,english
english425,english
english426,english
english427,english
english428,english
english429,english
english43,english
english430,english
english431,english
english432,english
english433,english
english434,english
english435,english
english436,english
english437,english
english438,english
english439,english
english44,english
english440,english
english441,english
english442,english
english443,english
english444,english
english445,english
english446,english
english447,english
english448,english
english449,english
english45,english
english450,english
english451,english
english452,english
english453,english
english454,english
english455,english
english456,english
english457,english
english458,english
english459,english
english46,english
english460,english
english461,english
english462,english
english463,english
english464,english
english465,english
english466,english
english467,english
english468,english
english469,english
english47,english
english470,english
english471,english
english472,english
english473,english
english474,english
english475,english
english476,english
english477,english
english478,english
english479,english
english48,english
english480,english
english481,english
english482,english
english483,english
english484,english
english485,english
english486,english
english487,english
english488,english
english489,english
english49,english
english490,english
english491,english
english492,english
english493,english
english494,english
english495,english
english496,english
english497,english
english498,english
english499,english
english5,english
english50,english
english500,english
english501,english
english502,english
english503,english
english504,english
english505,english
english506,english
english507,english
english508,english
english509,english
english51,english
english510,english
english511,english
english512,english
english513,english
english514,english
english515,english
english516,english
english517,english
english518,english
english519,english
english52,english
english520,english
english521,english
english522,english
english523,english
english524,english
english525,english
english526,english
english527,english
english528,english
english529,english
english53,english
english530,english
english531,english
english532,english
english533,english
english534,english
english535,english
english536,english
english537,english
english538,english
english539,english
english54,english
english540,english
english541,english
english542,english
english543,english
english544,english
english545,english
english546,english
english547,english
english548,english
english549,english
english55,english
english550,english
english551,english
english552,english
english553,english
english554,english
english555,english
english556,english
english557,english
english558,english
english559,english
english56,english
english560,english
english561,english
english562,english
english563,english
english564,english
english565,english
english566,english
english567,english
english568,english
english569,english
english57,english
english570,english
english571,english
english572,english
english573,english
english574,english
english575,english
english576,english
english577,english
english578,english
english579,english
english58,english
english59,english
english6,english
english60,english
english61,english
english62,english
english63,english
english64,english
english65,english
english66,english
english67,english
english68,english
english69,english
english7,english
english70,english
english71,english
english72,english
english73,english
english74,english
english75,english
english76,english
english77,english
english78,english
english79,english
english8,english
english80,english
english81,english
english82,english
english83,english
english84,english
english85,english
english86,english
english87,english
english88,english
english89,english
english9,english
english90,english
english91,english
english92,english
english93,english
english94,english
english95,english
english96,english
english97,english
english98,english
english99,english
french1,french
french10,french
french11,french
french12,french
french13,french
french14,french
french15,french
french16,french
french17,french
french18,french
french19,french
french2,french
french20,french
french21,french
french22,french
french23,french
french24,french
french25,french
french26,french
french27,french
french28,french
french29,french
french3,french
french30,french
french31,french
french32,french
french33,french
french34,french
french35,french
french36,french
french37,french
french38,french
french39,french
french4,french
french40,french
french41,french
french42,french
french43,french
french44,french
french45,french
french46,french
french47,french
french48,french
french49,french
french5,french
french50,french
french51,french
french52,french
french53,french
french54,french
french55,french
french56,french
french57,french
french58,french
french59,french
french6,french
french60,french
french61,french
french62,french
french63,french
french7,french
french8,french
french9,french
hindi1,hindi
hindi10,hindi
hindi11,hindi
hindi12,hindi
hindi13,hindi
hindi14,hindi
hindi15,hindi
hindi16,hindi
hindi17,hindi
hindi18,hindi
hindi2,hindi
hindi3,hindi
hindi4,hindi
hindi5,hindi
hindi6,hindi
hindi7,hindi
hindi8,hindi
hindi9,hindi
italian1,italian
italian10,italian
italian11,italian
italian12,italian
italian13,italian
italian14,italian
italian15,italian
italian16,italian
italian17,italian
italian18,italian
italian19,italian
italian2,italian
italian20,italian
italian21,italian
italian22,italian
italian23,italian
italian24,italian
italian25,italian
italian26,italian
italian27,italian
italian28,italian
italian29,italian
italian3,italian
italian30,italian
italian31,italian
italian32,italian
italian33,italian
italian4,italian
italian5,italian
italian6,italian
italian7,italian
italian8,italian
italian9,italian
japanese1,japanese
japanese10,japanese
japanese11,japanese
japanese12,japanese
japanese13,japanese
japanese14,japanese
japanese15,japanese
japanese16,japanese
japanese17,japanese
japanese18,japanese
japanese19,japanese
japanese2,japanese
japanese20,japanese
japanese21,japanese
japanese22,japanese
japanese23,japanese
japanese24,japanese
japanese25,japanese
japanese26,japanese
japanese27,japanese
japanese3,japanese
japanese4,japanese
japanese5,japanese
japanese6,japanese
japanese7,japanese
japanese8,japanese
japanese9,japanese