age,age_onset,birthplace,filename,native_language,sex,speakerid,country,file_missing?,,,
38,12,"riyadh, saudi arabia",arabic1,arabic,female,11,saudi arabia,FALSE,,,
26,5,"cairo, egypt",arabic10,arabic,male,12,egypt,FALSE,,,
40,10,"beirut, lebanon",arabic100,arabic,female,2159,lebanon,FALSE,,,
21,10,"doha, qatar",arabic101,arabic,male,2160,qatar,FALSE,,,
22,3,"jiddah, saudi arabia",arabic102,arabic,male,2161,saudi arabia,FALSE,,,
30,14,"monastir, tunisia",arabic11,arabic,female,13,tunisia,FALSE,,,
32,11,"baghdad, iraq",arabic12,arabic,male,14,iraq,FALSE,,,
25,15,"zabbougha, lebanon",arabic13,arabic,male,15,lebanon,FALSE,,,
47,11,"amman, jordan",arabic14,arabic,male,428,jordan,FALSE,,,
40,33,"qayrawan, tunisia",arabic15,arabic,male,437,tunisia,FALSE,,,
22,16,"meknes, morocco",arabic16,arabic,male,471,morocco,FALSE,,,
35,15,"settat, morocco",arabic17,arabic,male,512,morocco,FALSE,,,
18,6,"kuwait city, kuwait",arabic18,arabic,male,539,kuwait,FALSE,,,
43,18,"khouribga, morocco",arabic19,arabic,male,625,morocco,FALSE,,,
18,2.5,"damascus, syria",arabic2,arabic,male,16,syria,FALSE,,,
36,12,"chtaura, beqa valley, lebanon",arabic20,arabic,male,643,lebanon,FALSE,,,
46,30,"beirut, lebanon",arabic21,arabic,female,670,lebanon,FALSE,,,
23,10,"abu dhabi, united arab emirates",arabic22,arabic,female,920,united arab emirates,FALSE,,,
42,13,"al mahalla, egypt",arabic23,arabic,male,927,egypt,FALSE,,,
40,7,"cairo, egypt",arabic24,arabic,male,970,egypt,FALSE,,,
38,5,"ramun, israel (occupied territory)",arabic25,arabic,male,1011,israel (occupied territory),FALSE,,,
43,14,"amman, jordan",arabic26,arabic,female,1012,jordan,FALSE,,,
70,10,"jerusalem, israel",arabic27,arabic,male,1013,israel,FALSE,,,
30,12,"al-ayn, united arab emirates",arabic28,arabic,male,1115,united arab emirates,FALSE,,,
19,17,"doha, qatar",arabic29,arabic,male,1116,qatar,FALSE,,,
24,9,"doha, qatar",arabic3,arabic,male,17,qatar,FALSE,,,
19,8,"riyadh, saudi arabia",arabic30,arabic,female,1133,saudi arabia,FALSE,,,
47,12,"baghdad, iraq",arabic31,arabic,female,1181,iraq,FALSE,,,
42,12,"baghdad, iraq",arabic32,arabic,male,1203,iraq,FALSE,,,
28,11,"baghdad, iraq",arabic33,arabic,female,1204,iraq,FALSE,,,
34,6,"kuwait city, kuwait",arabic34,arabic,female,1253,kuwait,FALSE,,,
56,16,"jiddah, saudi arabia",arabic35,arabic,male,1391,saudi arabia,FALSE,,,
36,6,"jiddah, saudi arabia",arabic36,arabic,male,1392,saudi arabia,FALSE,,,
18,16,"jiddah, saudi arabia",arabic37,arabic,male,1393,saudi arabia,FALSE,,,
19,9,"shady grove, maryland, usa",arabic38,arabic,female,1394,usa,FALSE,,,
22,5,"jiddah, saudi arabia",arabic39,arabic,male,1405,saudi arabia,FALSE,,,
19,6,"sharjah, united arab emirates",arabic4,arabic,male,18,united arab emirates,FALSE,,,
19,13,"jiddah, saudi arabia",arabic40,arabic,male,1420,saudi arabia,FALSE,,,
25,7,"riyadh, saudi arabia",arabic41,arabic,male,1421,saudi arabia,FALSE,,,
21,13,"jiddah, saudi arabia",arabic42,arabic,male,1422,saudi arabia,FALSE,,,
29,8,"beirut, lebanon",arabic43,arabic,female,1426,lebanon,FALSE,,,
29,7,"jiddah, saudi arabia",arabic44,arabic,female,1455,saudi arabia,FALSE,,,
32,12,"fort collins, colorado, usa",arabic45,arabic,female,1456,usa,FALSE,,,
28,13,"jiddah, saudi arabia",arabic46,arabic,male,1457,saudi arabia,FALSE,,,
39,16,"jiddah, saudi arabia",arabic47,arabic,male,1458,saudi arabia,FALSE,,,
29,12,"mecca, saudi arabia",arabic48,arabic,male,1459,saudi arabia,FALSE,,,
26,8,"medina, saudi arabia",arabic49,arabic,male,1460,saudi arabia,FALSE,,,
19,15,"casablanca, morocco",arabic5,arabic,female,19,morocco,FALSE,,,
36,22,"jiddah, saudi arabia",arabic50,arabic,male,1461,saudi arabia,FALSE,,,
23,12,"jiddah, saudi arabia",arabic51,arabic,male,1486,saudi arabia,FALSE,,,
21,9,"jiddah, saudi arabia",arabic52,arabic,female,1487,saudi arabia,FALSE,,,
36,17,"rabat, morocco",arabic53,arabic,male,1526,morocco,FALSE,,,
22,7,"baghdad, iraq",arabic54,arabic,male,1565,iraq,FALSE,,,
70,33,"beirut, lebanon",arabic55,arabic,male,1569,lebanon,FALSE,,,
43,12,"ain defla, algeria",arabic56,arabic,male,1677,algeria,FALSE,,,
28,17,"beirut, lebanon",arabic57,arabic,female,1699,lebanon,FALSE,,,
34,9,"baghdad, iraq",arabic58,arabic,male,1700,iraq,FALSE,,,
55,9,"irbid, jordan",arabic59,arabic,male,1702,jordan,FALSE,,,
21,14.5,"sanaa, yemen",arabic6,arabic,male,20,yemen,FALSE,,,
60,14,"cairo, egypt",arabic60,arabic,male,1711,egypt,FALSE,,,
20,7,"manama, bahrain",arabic61,arabic,male,1753,bahrain,FALSE,,,
19,18,"ad dammam, saudi arabia",arabic62,arabic,male,1768,saudi arabia,FALSE,,,
28,10,"bani walid, libya",arabic63,arabic,female,1769,libya,FALSE,,,
23,6,"riyadh, saudi arabia",arabic64,arabic,male,1777,saudi arabia,FALSE,,,
32,10,"samail, oman",arabic65,arabic,female,1778,oman,FALSE,,,
50,14,"medina, saudi arabia",arabic66,arabic,male,1784,saudi arabia,FALSE,,,
43,22,"nasriah, iraq",arabic67,arabic,male,1785,iraq,FALSE,,,
20,6,"london, uk",arabic68,arabic,male,1805,uk,FALSE,,,
55,15,"kerma, sudan",arabic69,arabic,female,1810,sudan,FALSE,,,
18,15,"casablanca, morocco",arabic7,arabic,female,21,morocco,FALSE,,,
47,16,"casablanca, morocco",arabic70,arabic,male,1827,morocco,FALSE,,,
29,21,"kuwait city, kuwait",arabic71,arabic,female,1828,kuwait,FALSE,,,
20,11,"baghdad, iraq",arabic72,arabic,female,1832,iraq,FALSE,,,
47,7,"nazareth, israel",arabic73,arabic,female,1841,israel,FALSE,,,
18,4,"alexandria, egypt",arabic74,arabic,male,1870,egypt,FALSE,,,
26,2,"riyadh, saudi arabia",arabic75,arabic,female,1885,saudi arabia,FALSE,,,
25,4,"jiddah, saudi arabia",arabic76,arabic,male,1892,saudi arabia,FALSE,,,
18,4,"ad dammam, saudi arabia",arabic77,arabic,female,1894,saudi arabia,FALSE,,,
19,3,"washington, district of columbia, usa",arabic78,arabic,female,1897,usa,FALSE,,,
24,13,"medina, saudi arabia",arabic79,arabic,female,1899,saudi arabia,FALSE,,,
21,17,"casablanca, morocco",arabic8,arabic,male,22,morocco,FALSE,,,
25,11,"najran, saudi arabia",arabic80,arabic,male,1901,saudi arabia,FALSE,,,
22,17,"riyadh, saudi arabia",arabic81,arabic,male,1914,saudi arabia,FALSE,,,
42,12,"damascus, syria",arabic82,arabic,male,1917,syria,FALSE,,,
22,21,"riyadh, saudi arabia",arabic83,arabic,male,1920,saudi arabia,FALSE,,,
26,12,"medina, saudi arabia",arabic84,arabic,female,1927,saudi arabia,FALSE,,,
24,14,"ad dammam, saudi arabia",arabic85,arabic,female,1963,saudi arabia,FALSE,,,
28,3,"cairo, egypt",arabic86,arabic,male,1964,egypt,FALSE,,,
49,10,"kuwait city, kuwait",arabic87,arabic,female,2005,kuwait,FALSE,,,
19,4,"beirut, lebanon",arabic88,arabic,female,2008,lebanon,FALSE,,,
35,19,"baghdad, iraq",arabic89,arabic,female,2022,iraq,FALSE,,,
28,4,"jerusalem, israel",arabic9,arabic,female,23,israel,FALSE,,,
23,12,"tripoli, libya",arabic90,arabic,female,2036,libya,FALSE,,,
57,12,"riyadh, saudi arabia",arabic91,arabic,female,2086,saudi arabia,FALSE,,,
36,10,"baghdad, iraq",arabic92,arabic,male,2087,iraq,FALSE,,,
27,10,"baghdad, iraq",arabic93,arabic,female,2112,iraq,FALSE,,,
24,9,"abu dhabi, united arab emirates",arabic94,arabic,female,2114,united arab emirates,FALSE,,,
31,10,"kuwait city, kuwait",arabic95,arabic,female,2143,kuwait,FALSE,,,
21,7,"riyadh, saudi arabia",arabic96,arabic,male,2153,saudi arabia,FALSE,,,
19,4,"sharjah, united arab emirates",arabic97,arabic,female,2154,united arab emirates,FALSE,,,
19,4,"ras al khaimah, united arab emirates",arabic98,arabic,female,2155,united arab emirates,FALSE,,,
25,16,"ad dammam, saudi arabia",arabic99,arabic,female,2157,saudi arabia,FALSE,,,
42,0,"pittsburgh, pennsylvania, usa",english1,english,male,61,usa,FALSE,,,
35,0,"davenport, iowa, usa",english10,english,female,62,usa,FALSE,,,
23,0,"miami, florida, usa",english100,english,female,63,usa,FALSE,,,
18,0,"toronto, ontario, canada",english101,english,female,64,canada,FALSE,,,
22,0,"torrington, connecticut, usa",english102,english,male,65,usa,FALSE,,,
21,0,"staten island, new york, usa",english103,english,male,66,usa,FALSE,,,
18,0,"youngstown, ohio, usa",english104,english,female,67,usa,FALSE,,,
57,0,"windsor, ontario, canada",english105,english,male,407,canada,FALSE,,,
39,0,"los angeles, california, usa",english106,english,female,408,usa,FALSE,,,
19,0,"chicago, illinois, usa",english107,english,male,416,usa,FALSE,,,
21,0,"strabane, northern ireland, uk",english108,english,male,419,uk,FALSE,,,
26,0,"concord, new hampshire, usa",english109,english,female,420,usa,FALSE,,,
35,0,"staffordshire, uk",english11,english,female,68,uk,FALSE,,,
21,0,"great yarmouth, norfolk, uk",english110,english,male,421,uk,FALSE,,,
21,0,"bombay, india",english111,english,male,426,india,FALSE,,,
21,0,"st. thomas, us virgin islands",english112,english,male,427,us virgin islands,FALSE,,,
31,0,"wrexham, wales, uk",english113,english,male,439,uk,FALSE,,,
38,0,"birmingham 2, alabama, usa",english114,english,female,442,usa,FALSE,,,
31,0,"st. albans, hertfordshire, uk",english115,english,male,443,uk,FALSE,,,
56,0,"atlanta, georgia, usa",english116,english,male,444,usa,FALSE,,,
60,0,"elmore, alabama, usa",english117,english,female,445,usa,FALSE,,,
19,0,"akron, ohio, usa",english118,english,male,446,usa,FALSE,,,
32,0,"saskatoon, saskatchewan, canada",english119,english,female,455,canada,FALSE,,,
71,0,"leicester, uk",english12,english,female,69,uk,FALSE,,,
65,0,"saskatoon, saskatchewan, canada",english120,english,male,456,canada,FALSE,,,
21,0,"waconia, minnesota, usa",english121,english,male,465,usa,FALSE,,,
20,0,"kuala lumpur, malaysia",english122,english,female,468,malaysia,FALSE,,,
28,0,"riverside, california, usa",english123,english,female,469,usa,FALSE,,,
38,0,"brooklyn, new york, usa",english124,english,male,480,usa,FALSE,,,
28,0,"st. george, queensland, australia",english125,english,male,485,australia,FALSE,,,
34,0,"cincinnati, ohio, usa",english126,english,female,487,usa,FALSE,,,
39,0,"new britain, connecticut, usa",english127,english,male,489,usa,FALSE,,,
20,0,"miami, florida, usa",english128,english,female,490,usa,FALSE,,,
25,0,"blackpool, lancashire, uk",english129,english,male,492,uk,FALSE,,,
69,0,"henley on thames, oxfordshire, uk",english13,english,male,70,uk,FALSE,,,
32,0,"port elizabeth, south africa",english130,english,male,496,south africa,FALSE,,,
23,0,"west palm beach, florida, usa",english131,english,male,497,usa,FALSE,,,
18,0,"toronto, ontario, canada",english132,english,female,503,canada,FALSE,,,
36,0,"norwich, new york, usa",english133,english,female,504,usa,FALSE,,,
22,0,"belfast, northern ireland, uk",english134,english,female,506,uk,FALSE,,,
22,0,"orange beach, alabama, usa",english135,english,male,507,usa,FALSE,,,
25,0,"calgary, alberta, canada",english136,english,male,508,canada,FALSE,,,
26,0,"charleston, west virginia, usa",english137,english,male,509,usa,FALSE,,,
25,0,"palmer, alaska, usa",english138,english,female,510,usa,FALSE,,,
20,0,"providence, rhode island, usa",english139,english,male,511,usa,FALSE,,,
40,0,"belfast, northern ireland, uk",english14,english,male,71,uk,FALSE,,,
43,0,"quezon city, philippines",english140,english,male,515,philippines,FALSE,,,
19,0,"york, uk",english141,english,male,516,uk,FALSE,,,
19,0,"avon, new york, usa",english142,english,male,517,usa,FALSE,,,
42,0,"minneapolis, minnesota, usa",english143,english,male,518,usa,FALSE,,,
24,0,"barneys river, nova scotia, canada",english144,english,male,519,canada,FALSE,,,
18,0,"bury st. edmunds, uk",english145,english,male,521,uk,FALSE,,,
22,0,"blytheville, arkansas, usa",english146,english,male,522,usa,FALSE,,,
40,0,"merced, california, usa",english147,english,female,523,usa,FALSE,,,
31,0,"sydney, australia",english148,english,male,525,australia,FALSE,,,
18,0,"lawrenceville, georgia, usa",english149,english,male,526,usa,FALSE,,,
7,0,"norton, virginia, usa",english15,english,female,72,usa,FALSE,,,
31,0,"brownsville, kentucky, usa",english150,english,male,527,usa,FALSE,,,
18,0,"baltimore, maryland, usa",english151,english,male,528,usa,FALSE,,,
18,0,"adelaide, australia",english152,english,male,529,australia,FALSE,,,
35,0,"brisbane, australia",english153,english,male,533,australia,FALSE,,,
28,0,"glace bay, nova scotia, canada",english154,english,male,534,canada,FALSE,,,
35,0,"oakland, california, usa",english155,english,male,535,usa,FALSE,,,
33,0,"dublin, ireland",english156,english,male,536,ireland,FALSE,,,
35,0,"fort worth, texas, usa",english157,english,male,538,usa,FALSE,,,
18,0,"washington, district of columbia, usa",english158,english,female,540,usa,FALSE,,,
18,0,"ottawa, ontario, canada",english159,english,male,541,canada,FALSE,,,
21,0,"wise, virginia, usa",english16,english,male,73,usa,FALSE,,,
21,0,"redwood falls, minnesota, usa",english160,english,female,542,usa,FALSE,,,
75,0,"wakefield, ohio, usa",english161,english,female,546,usa,FALSE,,,
41,0,"delaware, ohio, usa",english162,english,female,548,usa,FALSE,,,
41,0,"fairview park, ohio, usa",english163,english,male,547,usa,FALSE,,,
38,0,"leeds, uk",english164,english,male,549,uk,FALSE,,,
43,0,"detroit, michigan, usa",english165,english,female,550,usa,FALSE,,,
18,0,"glenside, pennsylvania, usa",english166,english,male,551,usa,FALSE,,,
43,0,"lakeview, michigan, usa",english167,english,male,552,usa,FALSE,,,
40,0,"oceanside, california, usa",english168,english,male,554,usa,FALSE,,,
18,0,"cleveland, mississippi, usa",english169,english,male,555,usa,FALSE,,,
79,0,"darwin va, virginia, usa",english17,english,male,74,usa,FALSE,,,
50,0,"belmont, mississippi, usa",english170,english,female,556,usa,FALSE,,,
21,0,"st. louis, missouri, usa",english171,english,male,563,usa,FALSE,,,
49,0,"kingston, jamaica",english172,english,male,564,jamaica,FALSE,,,
19,0,"libertyville, illinois, usa",english173,english,male,567,usa,FALSE,,,
30,0,"kuching, sarawak, malaysia",english174,english,female,568,malaysia,FALSE,,,
24,0,"seattle, washington, usa",english175,english,male,572,usa,FALSE,,,
18,0,"elizabeth city, north carolina, usa",english176,english,female,573,usa,FALSE,,,
23,0,"new orleans, louisiana, usa",english177,english,female,574,usa,FALSE,,,
30,0,"wilkes-barre, pennsylvania, usa",english178,english,male,583,usa,FALSE,,,
57,0,"huron, south dakota, usa",english179,english,male,584,usa,FALSE,,,
39,0,"dickenson county, virginia, usa",english18,english,female,75,usa,FALSE,,,
20,0,"newport, rhode island, usa",english180,english,male,585,usa,FALSE,,,
68,0,"new eagle, pennsylvania, usa",english181,english,male,586,usa,FALSE,,,
50,0,"troy, new york, usa",english182,english,male,590,usa,FALSE,,,
55,0,"corriverton, guyana",english183,english,female,595,guyana,FALSE,,,
18,0,"hillsboro, oregon, usa",english184,english,female,597,usa,FALSE,,,
38,0,"oxford, uk",english185,english,male,604,uk,FALSE,,,
39,0,"gadsden, alabama, usa",english186,english,female,605,usa,FALSE,,,
42,0,"algona, iowa, usa",english187,english,female,606,usa,FALSE,,,
35,0,"edinburgh, scotland, uk",english188,english,male,611,uk,FALSE,,,
19,0,"grand forks, north dakota, usa",english189,english,male,617,usa,FALSE,,,
53,0,"louisville, kentucky, usa",english19,english,male,76,usa,FALSE,,,
27,0,"oak park, illinois, usa",english190,english,male,618,usa,FALSE,,,
19,0,"las cruces, new mexico, usa",english191,english,male,631,usa,FALSE,,,
27,0,"east lansing, michigan, usa",english192,english,female,636,usa,FALSE,,,
32,0,"honolulu, hawaii, usa",english193,english,male,637,usa,FALSE,,,
19,0,"manchester, england, uk",english194,english,male,638,uk,FALSE,,,
21,0,"delavan, wisconsin, usa",english195,english,female,639,usa,FALSE,,,
50,0,"suva, fiji",english196,english,female,654,fiji,FALSE,,,
22,0,"iowa city, iowa, usa",english197,english,male,662,usa,FALSE,,,
56,0,"washington, district of columbia, usa",english198,english,male,663,usa,FALSE,,,
25,0,"bay shore, new york, usa",english199,english,male,664,usa,FALSE,,,
30,0,"birmingham, uk",english2,english,female,77,uk,FALSE,,,
27,0,"mt. holly, north carolina, usa",english20,english,female,78,usa,FALSE,,,
22,0,"berkeley, california, usa",english200,english,female,667,usa,FALSE,,,
26,0,"warren, michigan, usa",english201,english,female,668,usa,FALSE,,,
19,0,"crisfield, maryland, usa",english202,english,male,673,usa,FALSE,,,
63,0,"boston, massachusetts, usa",english203,english,female,674,usa,FALSE,,,
53,0,"chicago, illinois, usa",english204,english,male,678,usa,FALSE,,,
45,0,"blue earth, minnesota, usa",english205,english,female,679,usa,FALSE,,,
35,0,"hucknall, nottinghamshire, england, uk",english206,english,female,680,uk,FALSE,,,
23,0,"wilkes-barre, pennsylvania, usa",english207,english,female,684,usa,FALSE,,,
46,0,"washington, dc, usa",english208,english,male,695,usa,FALSE,,,
28,0,"saint johns, antigua and barbuda",english209,english,female,702,antigua and barbuda,FALSE,,,
37,0,"boston, massachusetts, usa",english21,english,female,79,usa,FALSE,,,
23,0,"trenton, nova scotia, canada",english210,english,female,705,canada,FALSE,,,
30,0,"worcester, massachusetts, usa",english211,english,male,720,usa,FALSE,,,
24,0,"spartanburg, south carolina, usa",english212,english,male,729,usa,FALSE,,,
38,0,"dodge city, kansas, usa",english213,english,male,734,usa,FALSE,,,
26,0,"myrtle beach, south carolina, usa",english214,english,male,737,usa,FALSE,,,
20,0,"lemington spa, warwickshire, uk",english215,english,male,738,uk,FALSE,,,
48,0,"chicago, illinois, usa",english216,english,female,739,usa,FALSE,,,
66,0,"harrow, middlesex, uk",english217,english,male,740,uk,FALSE,,,
27,0,"abingdon, virginia, usa",english218,english,female,747,usa,FALSE,,,
38,0,"oakland, california, usa",english219,english,female,748,usa,FALSE,,,
25,0,"panama city, panama",english22,english,female,80,panama,FALSE,,,
18,0,"anaheim, california, usa",english220,english,female,749,usa,FALSE,,,
45,0,"london, uk",english221,english,male,754,uk,FALSE,,,
18,0,"auburn, indiana, usa",english222,english,female,764,usa,FALSE,,,
18,0,"erie, pennsylvania, usa",english223,english,male,767,usa,FALSE,,,
20,0,"bridgetown, barbados",english224,english,male,768,barbados,FALSE,,,
50,0,"dundee, scotland, uk",english225,english,male,771,uk,FALSE,,,
38,0,"walton-on-thames, surrey, uk",english226,english,male,772,uk,FALSE,,,
42,0,"camberley, surrey, uk",english227,english,female,773,uk,FALSE,,,
59,0,"glasgow, scotland, uk",english228,english,female,774,uk,FALSE,,,
25,0,"burlington, vermont, usa",english229,english,male,775,usa,FALSE,,,
43,0,"englewood, tennessee, usa",english23,english,male,81,usa,FALSE,,,
35,0,"launceston, tasmania, australia",english230,english,male,776,australia,FALSE,,,
22,0,"tampa, florida, usa",english231,english,male,791,usa,FALSE,,,
32,0,"metairie, louisiana, usa",english232,english,female,798,usa,FALSE,,,
